Motor Speed [RPM],Continuous Power [kW],Peak Power [kW]
1891.891892,28.32770682,37.54394277
1896.896897,28.40472805,37.65533057
1901.901902,28.48178672,37.76693555
1906.906907,28.55888305,37.87875893
1911.911912,28.63601724,37.99080192
1916.916917,28.71318951,38.10306573
1921.921922,28.79040006,38.21555157
1926.926927,28.8676491,38.32826065
1931.931932,28.94493683,38.44119419
1936.936937,29.02226348,38.5543534
1941.941942,29.09962924,38.66773948
1946.946947,29.17703433,38.78135366
1951.951952,29.25447895,38.89519714
1956.956957,29.33196332,39.00927114
1961.961962,29.40948764,39.12357687
1966.966967,29.48705212,39.23811554
1971.971972,29.56465698,39.35288835
1976.976977,29.64230241,39.46789654
1981.981982,29.71998864,39.58314129
1986.986987,29.79771586,39.69862384
1991.991992,29.87548428,39.81434538
1996.996997,29.95329413,39.93030714
2002.002002,30.03114558,40.04651028
2007.007007,30.10903832,40.16295453
2012.012012,30.18697135,40.27963771
2017.017017,30.26494363,40.39655752
2022.022022,30.34295409,40.51371167
2027.027027,30.42100172,40.63109786
2032.032032,30.49908545,40.74871379
2037.037037,30.57720424,40.86655715
2042.042042,30.65535706,40.98462566
2047.047047,30.73354284,41.10291701
2052.052052,30.81176056,41.2214289
2057.057057,30.89000916,41.34015904
2062.062062,30.9682876,41.45910513
2067.067067,31.04659483,41.57826487
2072.072072,31.12492982,41.69763595
2077.077077,31.2032915,41.81721609
2082.082082,31.28167885,41.93700298
2087.087087,31.36009082,42.05699433
2092.092092,31.43852635,42.17718783
2097.097097,31.51698441,42.29758118
2102.102102,31.59546396,42.4181721
2107.107107,31.67396394,42.53895828
2112.112112,31.75248331,42.65993742
2117.117117,31.83102102,42.78110722
2122.122122,31.90957604,42.90246538
2127.127127,31.98814732,43.02400962
2132.132132,32.0667338,43.14573761
2137.137137,32.14533446,43.26764708
2142.142142,32.22394824,43.38973572
2147.147147,32.30257409,43.51200123
2152.152152,32.38121098,43.63444132
2157.157157,32.45985786,43.75705367
2162.162162,32.53851368,43.87983601
2167.167167,32.6171774,44.00278602
2172.172172,32.69584797,44.12590141
2177.177177,32.77452435,44.24917988
2182.182182,32.8532055,44.37261914
2187.187187,32.93189036,44.49621687
2192.192192,33.0105779,44.61997079
2197.197197,33.08926708,44.7438786
2202.202202,33.16795683,44.867938
2207.207207,33.24664613,44.99214668
2212.212212,33.32533392,45.11650235
2217.217217,33.40401916,45.24100272
2222.222222,33.48270081,45.36564548
2227.227227,33.56137782,45.49042834
2232.232232,33.64004914,45.61534899
2237.237237,33.71871374,45.74040514
2242.242242,33.79737056,45.86559448
2247.247247,33.87601857,45.99091473
2252.252252,33.95465671,46.11636358
2257.257257,34.03328394,46.24193874
2262.262262,34.11189923,46.3676379
2267.267267,34.19050151,46.49345876
2272.272272,34.26908976,46.61939904
2277.277277,34.34766291,46.74545642
2282.282282,34.42621994,46.87162861
2287.287287,34.50475978,46.99791332
2292.292292,34.58328141,47.12430824
2297.297297,34.66178377,47.25081107
2302.302302,34.74026582,47.37741953
2307.307307,34.81872651,47.50413129
2312.312312,34.89716481,47.63094408
2317.317317,34.97557966,47.75785559
2322.322322,35.05397001,47.88486352
2327.327327,35.13233484,48.01196558
2332.332332,35.21067308,48.13915946
2337.337337,35.2889837,48.26644287
2342.342342,35.36726565,48.3938135
2347.347347,35.44551789,48.52126907
2352.352352,35.52373936,48.64880726
2357.357357,35.60192904,48.77642579
2362.362362,35.68008586,48.90412236
2367.367367,35.75820879,49.03189465
2372.372372,35.83629679,49.15974039
2377.377377,35.9143488,49.28765726
2382.382382,35.99236378,49.41564297
2387.387387,36.07034069,49.54369523
2392.392392,36.14827849,49.67181172
2397.397397,36.22617612,49.79999016
2402.402402,36.30403254,49.92822825
2407.407407,36.38184671,50.05652368
2412.412412,36.45961759,50.18487416
2417.417417,36.53734413,50.31327739
2422.422422,36.61502528,50.44173107
2427.427427,36.69265999,50.5702329
2432.432432,36.77024724,50.69878059
2437.437437,36.84778596,50.82737184
2442.442442,36.92527512,50.95600434
2447.447447,37.00271366,51.0846758
2452.452452,37.08010056,51.21338391
2457.457457,37.15743475,51.34212639
2462.462462,37.2347152,51.47090094
2467.467467,37.31194086,51.59970524
2472.472472,37.38911068,51.72853702
2477.477477,37.46622363,51.85739396
2482.482482,37.54327865,51.98627377
2487.487487,37.62027471,52.11517414
2492.492492,37.69721075,52.24409279
2497.497497,37.77408573,52.37302742
2502.502503,37.85089861,52.50197571
2507.507508,37.92764835,52.63093539
2512.512513,38.00433389,52.75990414
2517.517518,38.08095419,52.88887967
2522.522523,38.15750821,53.01785967
2527.527528,38.2339949,53.14684186
2532.532533,38.31041323,53.27582394
2537.537538,38.38676213,53.4048036
2542.542543,38.46304058,53.53377854
2547.547548,38.53924752,53.66274647
2552.552553,38.61538191,53.79170509
2557.557558,38.6914427,53.9206521
2562.562563,38.76742885,54.0495852
2567.567568,38.84333932,54.1785021
2572.572573,38.91917306,54.30740049
2577.577578,38.99492902,54.43627807
2582.582583,39.07060617,54.56513255
2587.587588,39.14620344,54.69396163
2592.592593,39.22171981,54.82276302
2597.597598,39.29715423,54.9515344
2602.602603,39.37250565,55.08027349
2607.607608,39.44777302,55.20897798
2612.612613,39.52295531,55.33764558
2617.617618,39.59805146,55.46627398
2622.622623,39.67306043,55.59486089
2627.627628,39.74798118,55.72340402
2632.632633,39.82281267,55.85190105
2637.637638,39.89755384,55.9803497
2642.642643,39.97220365,56.10874767
2647.647648,40.04676107,56.23709265
2652.652653,40.12122503,56.36538235
2657.657658,40.19559451,56.49361447
2662.662663,40.26986844,56.6217867
2667.667668,40.3440458,56.74989676
2672.672673,40.41812553,56.87794235
2677.677678,40.49210659,57.00592115
2682.682683,40.56598794,57.13383089
2687.687688,40.63976852,57.26166925
2692.692693,40.7134473,57.38943394
2697.697698,40.78702323,57.51712266
2702.702703,40.86049527,57.64473312
2707.707708,40.93386236,57.77226301
2712.712713,41.00712347,57.89971003
2717.717718,41.08027755,58.02707189
2722.722723,41.15332356,58.15434629
2727.727728,41.22626045,58.28153092
2732.732733,41.29908718,58.4086235
2737.737738,41.37180269,58.53562172
2742.742743,41.44440596,58.66252328
2747.747748,41.51689592,58.78932589
2752.752753,41.58927155,58.91602724
2757.757758,41.66153178,59.04262505
2762.762763,41.73367559,59.169117
2767.767768,41.80570191,59.2955008
2772.772773,41.87760972,59.42177416
2777.777778,41.94939796,59.54793477
2782.782783,42.02106558,59.67398033
2787.787788,42.09261156,59.79990855
2792.792793,42.16403482,59.92571713
2797.797798,42.23533435,60.05140377
2802.802803,42.30650908,60.17696617
2807.807808,42.37755798,60.30240203
2812.812813,42.44848,60.42770906
2817.817818,42.51927409,60.55288495
2822.822823,42.58993921,60.67792741
2827.827828,42.66047432,60.80283413
2832.832833,42.73087837,60.92760283
2837.837838,42.80115031,61.05223119
2842.842843,42.87128911,61.17671693
2847.847848,42.94129371,61.30105775
2852.852853,43.01116307,61.42525134
2857.857858,43.08089615,61.5492954
2862.862863,43.1504919,61.67318765
2867.867868,43.21994928,61.79692577
2872.872873,43.28926724,61.92050747
2877.877878,43.35844473,62.04393046
2882.882883,43.42748072,62.16719243
2887.887888,43.49637416,62.29029109
2892.892893,43.565124,62.41322414
2897.897898,43.6337292,62.53598927
2902.902903,43.70218871,62.65858419
2907.907908,43.77050149,62.78100661
2912.912913,43.8386665,62.90325421
2917.917918,43.90668268,63.02532471
2922.922923,43.974549,63.14721581
2927.927928,44.04226441,63.2689252
2932.932933,44.10982786,63.3904506
2937.937938,44.17723831,63.51178969
2942.942943,44.24449471,63.63294018
2947.947948,44.31159603,63.75389978
2952.952953,44.37854121,63.87466618
2957.957958,44.44532922,63.99523709
2962.962963,44.51195899,64.1156102
2967.967968,44.5784295,64.23578322
2972.972973,44.6447397,64.35575385
2977.977978,44.71088854,64.4755198
2982.982983,44.77687497,64.59507876
2987.987988,44.84269796,64.71442843
2992.992993,44.90835645,64.83356652
2997.997998,44.9738494,64.95249072
3003.003003,45.03917582,65.07119884
3008.008008,45.10433538,65.18969017
3013.013013,45.16932826,65.30796513
3018.018018,45.2341547,65.42602419
3023.023023,45.29881488,65.5438678
3028.028028,45.36330903,65.66149643
3033.033033,45.42763734,65.77891053
3038.038038,45.49180003,65.89611056
3043.043043,45.55579731,66.01309698
3048.048048,45.61962939,66.12987026
3053.053053,45.68329647,66.24643085
3058.058058,45.74679877,66.36277922
3063.063063,45.81013649,66.47891581
3068.068068,45.87330984,66.5948411
3073.073073,45.93631904,66.71055554
3078.078078,45.99916428,66.82605959
3083.083083,46.06184579,66.94135371
3088.088088,46.12436376,67.05643836
3093.093093,46.18671841,67.171314
3098.098098,46.24890994,67.28598109
3103.103103,46.31093857,67.40044009
3108.108108,46.37280451,67.51469146
3113.113113,46.43450795,67.62873566
3118.118118,46.49604912,67.74257315
3123.123123,46.55742822,67.85620439
3128.128128,46.61864546,67.96962983
3133.133133,46.67970105,68.08284995
3138.138138,46.7405952,68.19586519
3143.143143,46.80132811,68.30867601
3148.148148,46.8619,68.42128289
3153.153153,46.92231108,68.53368627
3158.158158,46.98256155,68.64588662
3163.163163,47.04265162,68.75788439
3168.168168,47.1025815,68.86968005
3173.173173,47.1623514,68.98127406
3178.178178,47.22196153,69.09266687
3183.183183,47.2814121,69.20385895
3188.188188,47.34070332,69.31485075
3193.193193,47.3998354,69.42564274
