Slip Angle [deg],Lateral Force [N],Normal Load [N],Camber Angle [deg],Tyre Pressure [kPa],Temperature [C]
4.03,524.17,200.0,0,200,25
4.01,511.27,200.0,0,200,25
3.93,497.64,200.0,0,200,25
3.91,485.95,200.0,0,200,25
3.88,478.64,200.0,0,200,25
3.83,479.01,200.0,0,200,25
3.79,481.24,200.0,0,200,25
3.75,489.75,200.0,0,200,25
3.7,494.83,200.0,0,200,25
3.67,499.26,200.0,0,200,25
3.64,499.46,200.0,0,200,25
3.6,493.77,200.0,0,200,25
3.55,481.74,200.0,0,200,25
3.53,470.11,200.0,0,200,25
3.47,457.98,200.0,0,200,25
3.42,449.71,200.0,0,200,25
3.38,447.65,200.0,0,200,25
3.33,447.4,200.0,0,200,25
3.3,451.06,200.0,0,200,25
3.26,456.41,200.0,0,200,25
3.2,460.29,200.0,0,200,25
3.18,460.72,200.0,0,200,25
3.16,455.33,200.0,0,200,25
3.1,447.52,200.0,0,200,25
3.06,435.23,200.0,0,200,25
3.03,425.21,200.0,0,200,25
2.99,417.62,200.0,0,200,25
2.97,411.79,200.0,0,200,25
2.93,411.98,200.0,0,200,25
2.9,414.69,200.0,0,200,25
2.82,419.59,200.0,0,200,25
2.81,423.15,200.0,0,200,25
2.77,423.52,200.0,0,200,25
2.73,421.24,200.0,0,200,25
2.68,415.84,200.0,0,200,25
2.64,406.19,200.0,0,200,25
2.6,394.0,200.0,0,200,25
2.57,383.98,200.0,0,200,25
2.54,377.57,200.0,0,200,25
2.5,374.98,200.0,0,200,25
2.44,375.46,200.0,0,200,25
2.4,376.89,200.0,0,200,25
2.37,379.91,200.0,0,200,25
2.3,380.52,200.0,0,200,25
2.25,377.67,200.0,0,200,25
2.22,372.2,200.0,0,200,25
2.19,364.44,200.0,0,200,25
2.14,355.57,200.0,0,200,25
2.11,345.19,200.0,0,200,25
2.05,339.19,200.0,0,200,25
2.03,335.64,200.0,0,200,25
1.98,334.08,200.0,0,200,25
1.93,331.87,200.0,0,200,25
1.9,331.59,200.0,0,200,25
1.9,332.81,200.0,0,200,25
