222N,,,667N,,,890N,,,1112N,,
SR,Fx [N],,SR,Fx [N],,SR,Fx [N],,SR,Fx [N],
-0.03900,-412.13000,,-0.02200,-885.37000,,-0.01500,-847.61000,,-0.04300,-2126.07000,
-0.04000,-402.56000,,-0.02300,-908.63000,,-0.01600,-939.52000,,-0.04400,-2167.27000,
-0.04200,-387.31000,,-0.02300,-933.37000,,-0.01800,-1012.34000,,-0.04400,-2194.91000,
-0.04300,-372.39000,,-0.02400,-958.42000,,-0.01900,-1074.30000,,-0.04500,-2205.50000,
-0.04400,-363.56000,,-0.02500,-983.32000,,-0.02000,-1136.65000,,-0.04500,-2199.68000,
-0.04500,-363.64000,,-0.02600,-1011.06000,,-0.02200,-1198.90000,,-0.04500,-2187.36000,
-0.04500,-380.70000,,-0.02700,-1054.46000,,-0.02400,-1256.22000,,-0.04500,-2175.57000,
-0.04600,-409.56000,,-0.02900,-1101.41000,,-0.02600,-1296.92000,,-0.04600,-2170.18000,
-0.04600,-443.09000,,-0.03200,-1150.25000,,-0.02700,-1315.16000,,-0.04700,-2172.98000,
-0.04700,-467.17000,,-0.03400,-1194.04000,,-0.02800,-1319.30000,,-0.04800,-2182.48000,
-0.04900,-475.90000,,-0.03700,-1229.71000,,-0.02800,-1330.73000,,-0.04900,-2201.64000,
-0.05000,-466.47000,,-0.03900,-1251.01000,,-0.02900,-1360.35000,,-0.05100,-2229.08000,
-0.05200,-453.29000,,-0.04000,-1261.38000,,-0.03100,-1417.24000,,-0.05300,-2256.69000,
-0.05400,-439.92000,,-0.04200,-1267.84000,,-0.03300,-1481.14000,,-0.05400,-2278.02000,
-0.05500,-422.50000,,-0.04300,-1278.35000,,-0.03500,-1549.13000,,-0.05400,-2294.43000,
-0.05600,-406.19000,,-0.04400,-1298.74000,,-0.03700,-1612.42000,,-0.05500,-2315.74000,
-0.05700,-388.18000,,-0.04400,-1322.70000,,-0.03900,-1671.29000,,-0.05600,-2342.39000,
-0.05800,-379.15000,,-0.04500,-1348.00000,,-0.04100,-1714.56000,,-0.05800,-2366.67000,
-0.06000,-380.44000,,-0.04600,-1376.72000,,-0.04200,-1736.97000,,-0.06000,-2387.35000,
-0.06200,-401.11000,,-0.04700,-1405.08000,,-0.04300,-1738.44000,,-0.06200,-2400.33000,
-0.06400,-434.65000,,-0.04700,-1426.57000,,-0.04300,-1723.70000,,-0.06400,-2402.05000,
-0.06500,-473.64000,,-0.04800,-1430.18000,,-0.04400,-1705.76000,,-0.06500,-2389.00000,
-0.06600,-497.71000,,-0.05000,-1417.54000,,-0.04300,-1689.76000,,-0.06500,-2364.13000,
-0.06700,-500.37000,,-0.05000,-1395.91000,,-0.04400,-1689.35000,,-0.06500,-2341.35000,
-0.06800,-484.88000,,-0.04900,-1372.58000,,-0.04600,-1718.00000,,-0.06500,-2327.03000,
-0.06800,-462.64000,,-0.05000,-1354.34000,,-0.04800,-1766.98000,,-0.06600,-2334.11000,
-0.06900,-446.00000,,-0.05100,-1353.75000,,-0.05000,-1822.06000,,-0.06700,-2354.68000,
-0.06900,-433.42000,,-0.05300,-1371.57000,,-0.05100,-1867.46000,,-0.06800,-2388.81000,
-0.06900,-418.05000,,-0.05500,-1401.83000,,-0.05200,-1892.22000,,-0.07000,-2424.77000,
-0.07000,-400.68000,,-0.05600,-1437.86000,,-0.05200,-1898.21000,,-0.07100,-2451.60000,
-0.07100,-386.84000,,-0.05700,-1465.17000,,-0.05200,-1891.25000,,-0.07200,-2461.91000,
-0.07400,-380.71000,,-0.05700,-1487.92000,,-0.05200,-1881.79000,,-0.07400,-2460.52000,
-0.07400,-388.95000,,-0.05700,-1502.86000,,-0.05300,-1885.24000,,-0.07500,-2452.55000,
-0.07500,-412.97000,,-0.05800,-1512.17000,,-0.05500,-1899.54000,,-0.07600,-2445.88000,
-0.07500,-446.91000,,-0.05900,-1510.39000,,-0.05600,-1914.05000,,-0.07600,-2436.04000,
-0.07500,-478.37000,,-0.06100,-1507.65000,,-0.05800,-1924.63000,,-0.07700,-2421.44000,
-0.07500,-494.78000,,-0.06300,-1507.99000,,-0.06000,-1928.55000,,-0.07800,-2409.00000,
-0.07600,-489.10000,,-0.06400,-1510.84000,,-0.06100,-1934.19000,,-0.07900,-2403.80000,
-0.07700,-471.83000,,-0.06600,-1506.80000,,-0.06200,-1935.78000,,-0.08100,-2409.31000,
-0.08000,-452.20000,,-0.06700,-1497.96000,,-0.06200,-1945.13000,,-0.08300,-2427.41000,
-0.08200,-439.04000,,-0.06800,-1489.25000,,-0.06200,-1952.87000,,-0.08500,-2456.40000,
-0.08400,-426.11000,,-0.06900,-1487.97000,,-0.06200,-1965.80000,,-0.08500,-2488.92000,
-0.08500,-410.93000,,-0.07000,-1499.14000,,-0.06200,-1982.63000,,-0.08600,-2515.68000,
-0.08600,-397.11000,,-0.07000,-1522.36000,,-0.06300,-1991.63000,,-0.08600,-2526.32000,
-0.08700,-384.15000,,-0.07100,-1551.38000,,-0.06400,-1997.36000,,-0.08600,-2522.62000,
-0.08800,-381.00000,,-0.07100,-1576.82000,,-0.06700,-2004.12000,,-0.08500,-2510.06000,
-0.08800,-392.90000,,-0.07300,-1587.49000,,-0.06900,-2008.25000,,-0.08600,-2504.03000,
-0.08800,-421.45000,,-0.07400,-1583.83000,,-0.07100,-2005.29000,,-0.08600,-2498.56000,
-0.08800,-459.32000,,-0.07600,-1571.55000,,-0.07200,-1993.52000,,-0.08700,-2492.34000,
-0.08900,-486.43000,,-0.07800,-1562.48000,,-0.07300,-1975.12000,,-0.08800,-2480.76000,
-0.09000,-491.31000,,-0.07900,-1551.02000,,-0.07300,-1961.41000,,-0.08900,-2469.72000,
-0.09200,-474.61000,,-0.08000,-1536.49000,,-0.07300,-1956.70000,,-0.09100,-2463.35000,
-0.09400,-450.35000,,-0.08100,-1520.88000,,-0.07400,-1965.43000,,-0.09300,-2464.81000,
-0.09500,-433.31000,,-0.08200,-1507.43000,,-0.07400,-1987.52000,,-0.09300,-2477.60000,
-0.09600,-414.91000,,-0.08300,-1499.19000,,-0.07400,-2020.36000,,-0.09400,-2505.72000,
-0.09600,-403.18000,,-0.08400,-1506.62000,,-0.07600,-2053.06000,,-0.09400,-2538.82000,
-0.09600,-387.78000,,-0.08500,-1528.67000,,-0.07700,-2076.16000,,-0.09500,-2565.47000,
-0.09700,-373.83000,,-0.08600,-1559.15000,,-0.07900,-2088.15000,,-0.09700,-2577.07000,
-0.09900,-364.85000,,-0.08700,-1590.38000,,-0.08100,-2087.47000,,-0.09800,-2579.06000,
-0.10100,-369.35000,,-0.08800,-1610.08000,,-0.08300,-2083.55000,,-0.10000,-2578.29000,
-0.10300,-387.34000,,-0.08900,-1611.00000,,-0.08400,-2073.08000,,-0.10200,-2579.22000,
-0.10400,-420.28000,,-0.09000,-1601.75000,,-0.08500,-2054.42000,,-0.10300,-2569.86000,
-0.10500,-454.16000,,-0.09100,-1586.04000,,-0.08600,-2030.53000,,-0.10300,-2555.73000,
-0.10600,-477.90000,,-0.09200,-1575.36000,,-0.08500,-2011.91000,,-0.10300,-2537.36000,
-0.10600,-475.78000,,-0.09300,-1562.78000,,-0.08500,-2004.92000,,-0.10300,-2518.32000,
-0.10600,-457.81000,,-0.09400,-1545.00000,,-0.08600,-2013.08000,,-0.10400,-2504.41000,
-0.10800,-433.11000,,-0.09400,-1527.61000,,-0.08800,-2034.99000,,-0.10500,-2504.85000,
-0.10900,-411.89000,,-0.09500,-1513.41000,,-0.08900,-2069.72000,,-0.10600,-2523.08000,
-0.11100,-396.60000,,-0.09700,-1513.84000,,-0.09100,-2101.06000,,-0.10800,-2553.98000,
-0.11200,-385.11000,,-0.09800,-1526.06000,,-0.09100,-2128.56000,,-0.10900,-2586.34000,
-0.11300,-369.40000,,-0.10000,-1550.62000,,-0.09200,-2135.08000,,-0.11100,-2606.35000,
-0.11400,-353.96000,,-0.10000,-1584.74000,,-0.09200,-2129.38000,,-0.11300,-2607.25000,
-0.11600,-343.48000,,-0.10100,-1615.93000,,-0.09200,-2120.57000,,-0.11500,-2596.25000,
-0.11600,-344.80000,,-0.10100,-1632.81000,,-0.09300,-2112.24000,,-0.11600,-2586.20000,
-0.11700,-359.88000,,-0.10100,-1630.96000,,-0.09400,-2104.00000,,-0.11700,-2579.25000,
-0.11700,-391.12000,,-0.10100,-1620.30000,,-0.09400,-2092.50000,,-0.11800,-2569.92000,
-0.11700,-425.06000,,-0.10300,-1608.05000,,-0.09600,-2079.22000,,-0.11900,-2554.88000,
-0.11800,-451.76000,,-0.10400,-1597.40000,,-0.09700,-2065.02000,,-0.12000,-2532.58000,
-0.11900,-455.08000,,-0.10500,-1584.62000,,-0.09900,-2057.08000,,-0.12100,-2507.55000,
-0.12100,-438.48000,,-0.10700,-1568.20000,,-0.10100,-2062.90000,,-0.12200,-2491.46000,
-0.12300,-414.44000,,-0.10800,-1549.80000,,-0.10200,-2083.34000,,-0.12400,-2492.79000,
-0.12500,-392.66000,,-0.10800,-1533.35000,,-0.10300,-2114.19000,,-0.12500,-2516.70000,
-0.12600,-380.32000,,-0.11000,-1527.30000,,-0.10400,-2146.94000,,-0.12500,-2560.29000,
-0.12600,-370.62000,,-0.11100,-1534.93000,,-0.10500,-2166.57000,,-0.12500,-2602.10000,
-0.12600,-359.74000,,-0.11000,-1558.26000,,-0.10600,-2169.67000,,-0.12500,-2629.52000,
-0.12600,-346.67000,,-0.11000,-1591.42000,,-0.10700,-2159.17000,,-0.12500,-2636.45000,
-0.12700,-336.89000,,-0.11100,-1618.53000,,-0.10900,-2151.33000,,-0.12600,-2626.82000,
-0.12800,-334.73000,,-0.11200,-1634.98000,,-0.11000,-2140.94000,,-0.12800,-2613.61000,
-0.13000,-347.32000,,-0.11400,-1629.67000,,-0.11000,-2129.58000,,-0.13000,-2602.41000,
